rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
83,A,class:skip-link screen-reader-text-;-href:#content,skip to content,2,82,Body,15,0,#content,0,0,0,True,False,False,True,3,0.8666667,0.0,0.13333334,False,False,False,False,2,True,False,False,False,False,False,True,False,False,False,False,False,Other,
420,H1,class:wp-block-heading has-text-align-left has-ast-global-color-0-color has-text-color has-link-color wp-elements-41d4d39638398e0a8879a314dfc22da9,spring 2026 hacac college fairs,9,418,Div,31,1,,0,0,0,False,False,False,True,5,0.7419355,0.12903225,0.12903225,False,False,False,False,1,True,False,False,False,False,False,True,False,False,False,False,False,Other,
421,P,,please mark your calendars for the hawaii acac spring college fairs from,9,418,Div,72,2,,1,2,0,False,False,False,False,12,0.8472222,0.0,0.15277778,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
422,Unknown,,"tuesday, april 14, 2026 – sunday, april 19, 2026.",10,421,P,51,0,,0,0,0,False,False,False,True,9,0.46938777,0.24489796,0.1632653,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
429,Unknown,,date,14,428,Td,4,0,,0,0,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,Other,
431,Unknown,,time,14,430,Td,4,0,,0,0,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,Other,
433,Unknown,,island,14,432,Td,6,0,,0,0,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
435,Unknown,,location,14,434,Td,8,0,,0,0,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,True,Other,
437,Td,,"tuesday, april 14",13,436,Tr,17,0,,0,3,0,False,False,False,True,3,0.7058824,0.11764706,0.11764706,True,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,Date,1.0
438,Td,,10:00 a.m. – 12:00 p.m.,13,436,Tr,25,1,,0,3,0,False,False,False,True,5,0.17391305,0.3478261,0.17391305,False,True,True,False,0,False,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,1.0
439,Td,,hawaii east,13,436,Tr,11,2,,0,3,0,False,False,False,True,2,0.90909094,0.0,0.09090909,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
440,Td,,kamehameha schools hawaii keaʻau campus,13,436,Tr,40,3,,0,3,0,False,False,False,True,5,0.8974359,0.0,0.102564104,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Location,1.0
442,Td,,"wednesday, april 15",13,441,Tr,19,0,,0,3,0,False,False,False,True,3,0.7368421,0.10526316,0.10526316,True,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,Date,2.0
443,Td,,10:00 a.m. – 12:00 p.m.,13,441,Tr,25,1,,0,3,0,False,False,False,True,5,0.17391305,0.3478261,0.17391305,False,True,True,False,0,False,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,2.0
444,Td,,hawaii island central,13,441,Tr,21,2,,0,3,0,False,False,False,True,3,0.9047619,0.0,0.0952381,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
445,Td,,hawaii preparatory academy,13,441,Tr,26,3,,0,3,0,False,False,False,True,3,0.9230769,0.0,0.07692308,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Location,2.0
447,Td,,"thursday, april 16",13,446,Tr,18,0,,0,3,0,False,False,False,True,3,0.7222222,0.11111111,0.11111111,True,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,Date,3.0
448,Td,,10:00 a.m. – 1:00 p.m.,13,446,Tr,24,1,,0,3,0,False,False,False,True,5,0.18181819,0.3181818,0.18181819,False,True,True,False,0,False,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,3.0
449,Td,,maui,13,446,Tr,4,2,,0,3,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
450,Td,,king kekaulike high school,13,446,Tr,26,3,,0,3,0,False,False,False,True,4,0.88461536,0.0,0.115384616,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Location,3.0
452,Td,,"thursday, april 16",13,451,Tr,18,0,,0,3,0,False,False,False,True,3,0.7222222,0.11111111,0.11111111,True,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,Date,4.0
453,Td,,5:00 p.m. – 7:00 p.m.,13,451,Tr,23,1,,0,3,0,False,False,False,True,5,0.1904762,0.2857143,0.1904762,False,False,True,False,0,False,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,4.0
454,Td,,maui,13,451,Tr,4,2,,0,3,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
455,Td,,k,13,451,Tr,1,3,,1,3,0,False,False,False,False,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
456,Span,,ūlanihakoʻi high school,14,455,Td,25,0,,0,0,0,False,False,False,True,3,0.9130435,0.0,0.08695652,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Location,4.0
458,Td,,"friday, april 17",13,457,Tr,16,0,,0,3,0,False,False,False,True,3,0.6875,0.125,0.125,True,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,Date,5.0
459,Td,,check in – breakfast: 8:30-9:30 a.m. keynote: 9:45-10:05 a.m. sessions throughout the day closing: 6:00 p.m.,13,457,Tr,110,1,,9,3,0,False,False,False,False,16,0.5555556,0.14814815,0.1388889,False,True,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,5.0
460,A,href:https://hawaiiacac.org/annual-conference/,annual conference and pau hana,14,459,Td,30,0,https://hawaiiacac.org/annual-conference/,0,0,0,True,True,False,True,5,0.8666667,0.0,0.13333334,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Other,
469,Td,,maui,13,457,Tr,4,2,,0,3,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
470,Td,,university of hawaii maui college,13,457,Tr,33,3,,0,3,0,False,False,False,True,5,0.8787879,0.0,0.121212125,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Location,5.0
472,Td,,"saturday, april 18",13,471,Tr,18,0,,0,3,0,False,False,False,True,3,0.7222222,0.11111111,0.11111111,True,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,Date,6.0
