rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
57,A,unknown:skip to content-;-class:fl-screen-reader-text-;-href:#fl-main-content,skip to content,2,56,Body,15,0,#fl-main-content,0,0,0,True,False,False,True,3,0.8666667,0.0,0.13333334,False,False,False,False,3,True,False,False,False,False,False,False,False,False,False,False,False,Other,
413,H1,class:gz-pagetitle,main calendar,24,412,Div,13,0,,0,0,0,False,False,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
425,Unknown,,alabama,27,424,Unknown,7,0,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
426,Unknown,,arkansas,27,424,Unknown,8,1,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
427,Unknown,,cbo,27,424,Unknown,3,2,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
428,Unknown,,cgn,27,424,Unknown,3,3,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
429,Unknown,,college admission workshop,27,424,Unknown,26,4,,0,25,0,False,False,False,True,3,0.9230769,0.0,0.07692308,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
430,Unknown,,college fair,27,424,Unknown,12,5,,0,25,0,False,False,False,True,2,0.9166667,0.0,0.083333336,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
431,Unknown,,conference,27,424,Unknown,10,6,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
432,Unknown,,drive-in workshop,27,424,Unknown,17,7,,0,25,0,False,False,False,True,2,0.88235295,0.0,0.05882353,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
433,Unknown,,florida,27,424,Unknown,7,8,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
434,Unknown,,georgia,27,424,Unknown,7,9,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
435,Unknown,,government relations advocacy/legislative days,27,424,Unknown,46,10,,0,25,0,False,False,False,True,4,0.9130435,0.0,0.06521739,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
436,Unknown,,ias book club,27,424,Unknown,13,11,,0,25,0,False,False,False,True,3,0.84615386,0.0,0.15384616,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
437,Unknown,,independent educational consultants,27,424,Unknown,35,12,,0,25,0,False,False,False,True,3,0.94285715,0.0,0.057142857,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
438,Unknown,,in-person,27,424,Unknown,9,13,,0,25,0,False,False,False,True,1,0.8888889,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
439,Unknown,,louisiana,27,424,Unknown,9,14,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
440,Unknown,,mississippi,27,424,Unknown,11,15,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
441,Unknown,,north carolina,27,424,Unknown,14,16,,0,25,0,False,False,False,True,2,0.9285714,0.0,0.071428575,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
442,Unknown,,post-secondary,27,424,Unknown,14,17,,0,25,0,False,False,False,True,1,0.9285714,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
443,Unknown,,secondary,27,424,Unknown,9,18,,0,25,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
444,Unknown,,south carolina,27,424,Unknown,14,19,,0,25,0,False,False,False,True,2,0.9285714,0.0,0.071428575,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
445,Unknown,,special interest group,27,424,Unknown,22,20,,0,25,0,False,False,False,True,3,0.90909094,0.0,0.09090909,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
