rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
165,H1,,fall event calendar,8,164,Section,19,0,,0,0,0,False,False,False,True,3,0.8947368,0.0,0.10526316,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
167,Unknown,,spend a week out west! registration for our fall 2025 cosi college fairs is now,9,166,P,79,0,,1,1,0,False,False,False,False,15,0.75949365,0.050632913,0.17721519,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
168,Span,,open!,10,167,Unknown,5,0,,0,0,0,False,False,False,True,1,0.8,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
169,Unknown,,"choose by the day or register for the full week, which includes all events.",9,166,P,75,1,,0,1,0,False,False,False,True,14,0.8,0.0,0.17333333,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
173,P,,": your strivescan app is now included in your registration fee to make your collection of student interest data simpler than ever. strivescan is the same company that provides scanning capabilities for many of the regional nacac affiliates and organizers of college and university events across the united states and in over 30 countries globally. for detailed information regarding the strivescan app, lead collection, and instant export, please click .",8,164,Section,454,3,,2,2,0,False,False,False,False,70,0.82819384,0.004405286,0.15198238,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
174,Unknown,,scanners,9,173,P,8,0,,0,0,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
175,A,href:http://strivescan.com,here,9,173,P,4,1,http://strivescan.com,0,0,0,True,True,False,True,1,1.0,0.0,0.0,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Other,
180,Span,,fall event calendar october 2025,10,179,H1,32,0,,1,0,0,False,False,False,False,5,0.75,0.125,0.125,True,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
183,Span,,"spend a week out west ~ five days, multiple events! attend multiple in-person fairs including countywide events. our early registration deadline has been extended to saturday, .",10,182,P,177,0,,1,0,0,False,False,False,False,27,0.8135593,0.0,0.14689265,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
184,Unknown,,august 16th,11,183,Span,11,0,,0,0,0,False,False,False,True,2,0.72727275,0.18181819,0.09090909,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
