rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
89,Div,unknown:true-;-class:ndji5d snbyac-;-unknown:lwh6nd,search this site,12,87,Div,16,1,,0,0,0,False,False,False,True,3,0.875,0.0,0.125,False,False,False,False,3,True,False,False,False,False,False,False,False,False,False,False,False,Other,
107,Span,class:hciigf,embedded files,10,103,Div,14,1,,0,0,0,False,False,False,True,2,0.9285714,0.0,0.071428575,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
116,Span,class:vfppkd-vqzf8d-;-unknown:v67agc,skip to main content,9,112,Unknown,20,3,,0,0,0,False,False,False,True,4,0.85,0.0,0.15,False,False,False,False,2,True,False,False,False,False,False,False,False,False,False,False,False,Other,
122,Span,class:vfppkd-vqzf8d-;-unknown:v67agc,skip to navigation,9,118,Unknown,18,3,,0,0,0,False,False,False,True,3,0.8888889,0.0,0.11111111,False,False,False,False,2,True,False,False,False,False,False,False,False,False,False,False,False,Other,
817,Span,class:c9dxtc,202,20,807,Div,3,1,,0,4,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
818,Span,class:c9dxtc,6,20,807,Div,1,2,,0,4,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
819,Span,class:c9dxtc,pnacac,20,807,Div,6,3,,0,4,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
820,Span,class:c9dxtc,spring,20,807,Div,6,4,,0,4,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
821,Span,class:c9dxtc,college fairs,20,807,Div,13,5,,0,4,0,False,False,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
840,P,,college/university registration now open!,22,839,Div,41,0,,0,0,0,False,False,False,True,4,0.8780488,0.0,0.07317073,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
874,Span,class:c9dxtc,boise fair,20,864,Div,10,1,,0,0,0,False,False,False,True,2,0.9,0.0,0.1,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Name,1.0
880,Span,class:c9dxtc,"saturday, april 1",19,879,P,17,0,,0,3,0,False,False,False,True,3,0.7647059,0.05882353,0.11764706,True,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,1.0
881,Span,class:c9dxtc,8,19,879,P,1,1,,0,3,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
882,Span,class:c9dxtc,", 202",19,879,P,5,2,,0,3,0,False,False,False,True,2,0.0,0.6,0.2,False,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
883,Span,class:c9dxtc,6,19,879,P,1,3,,0,3,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
885,Span,class:c9dxtc,"boise state university, jordan ballroom",19,884,P,39,0,,0,0,0,False,False,False,True,5,0.8717949,0.0,0.102564104,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Location,1.0
887,Span,class:c9dxtc,1,19,886,P,1,0,,0,1,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
888,Span,class:c9dxtc,11:00am-1:00pm,19,886,P,13,1,,0,1,0,False,False,False,True,1,0.30769232,0.46153846,0.0,False,True,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,1.0
917,Span,class:c9dxtc,snohomish county fair,20,907,Div,21,1,,0,0,0,False,False,False,True,3,0.9047619,0.0,0.0952381,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Name,2.0
923,Span,class:c9dxtc,"thursday, april 2",19,922,P,17,0,,0,3,0,False,False,False,True,3,0.7647059,0.05882353,0.11764706,True,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,2.0
924,Span,class:c9dxtc,3,19,922,P,1,1,,0,3,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
925,Span,class:c9dxtc,", 202",19,922,P,5,2,,0,3,0,False,False,False,True,2,0.0,0.6,0.2,False,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
926,Span,class:c9dxtc,6,19,922,P,1,3,,0,3,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
928,Span,class:c9dxtc,meadowdale high school,19,927,P,22,0,,0,0,0,False,False,False,True,3,0.90909094,0.0,0.09090909,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Location,2.0
930,Span,class:c9dxtc,6:00-8:00pm,19,929,P,11,0,,0,0,0,False,False,False,True,1,0.18181819,0.54545456,0.0,False,True,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,2.0
960,Span,class:c9dxtc,seattle fair,20,950,Div,12,1,,0,0,0,False,False,False,True,2,0.9166667,0.0,0.083333336,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Name,3.0
966,Span,class:c9dxtc,"saturday, april 2",19,965,P,17,0,,0,3,0,False,False,False,True,3,0.7647059,0.05882353,0.11764706,True,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,3.0
967,Span,class:c9dxtc,"5,",19,965,P,2,1,,0,3,0,False,False,False,True,1,0.0,0.5,0.0,False,False,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
968,Span,class:c9dxtc,202,19,965,P,3,2,,0,3,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
969,Span,class:c9dxtc,6,19,965,P,1,3,,0,3,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
971,Span,class:c9dxtc,seattle university,19,970,P,18,0,,0,0,0,False,False,False,True,2,0.9444444,0.0,0.055555556,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Location,3.0
973,Span,class:c9dxtc,9:00am-12:00pm,19,972,P,14,0,,0,0,0,False,False,False,True,1,0.2857143,0.5,0.0,False,True,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,3.0
1002,Span,class:c9dxtc,portland fair,20,992,Div,13,1,,0,0,0,False,False,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Name,4.0
1008,Span,class:c9dxtc,"sunday, april 2",19,1007,P,15,0,,0,3,0,False,False,False,True,3,0.73333335,0.06666667,0.13333334,True,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,4.0
1009,Span,class:c9dxtc,6,19,1007,P,1,1,,0,3,1,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,4.0
1010,Span,class:c9dxtc,", 202",19,1007,P,5,2,,0,3,0,False,False,False,True,2,0.0,0.6,0.2,False,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,4.0
1011,Span,class:c9dxtc,6,19,1007,P,1,3,,0,3,1,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,4.0
1013,Span,class:c9dxtc,university of portland,19,1012,P,22,0,,0,0,0,False,False,False,True,3,0.90909094,0.0,0.09090909,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Location,4.0
1015,Span,class:c9dxtc,12:00-3:00pm,19,1014,P,12,0,,0,0,0,False,False,False,True,1,0.16666667,0.5833333,0.0,False,True,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,StartEndTime,4.0
1076,Span,,page updated,12,1075,Div,12,0,,0,0,0,False,False,False,True,2,0.9166667,0.0,0.083333336,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
1079,Div,unknown:false-;-unknown:report abuse-;-class:u26fgb kppxtd j7bueb-;-unknown:-;-unknown:button-;-unknown:0,report abuse,11,1078,Div,12,0,,0,0,0,False,False,False,True,2,0.9166667,0.0,0.083333336,False,False,False,False,6,True,False,False,False,False,False,False,False,False,False,False,False,Other,
