rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
288,H1,class:entry-title,college fairs,11,287,Div,13,0,,0,0,0,False,False,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Other,
293,P,,"a free program for the public since 1972, wacac college fairs allow students to interact with admission representatives from a wide range of non-profit and postsecondary institutions. they have the opportunity to discuss course offerings, admission and financial aid requirements, college life, and other information pertinent to the college selection process. wacac college fairs take place in various locations across california and nevada.",12,292,Div,442,0,,0,9,0,False,False,False,True,63,0.8325792,0.009049774,0.1402715,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
294,P,,interested in hosting a wacac college fair? contact the college fair co-chairs at .,12,292,Div,83,1,,1,9,0,False,False,False,False,14,0.8072289,0.0,0.15662651,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,Other,
295,A,href:mailto:wacaccollegefairs@wacac.org,wacaccollegefairs@wacac.org,13,294,P,27,0,mailto:wacaccollegefairs@wacac.org,0,0,0,True,False,False,True,1,0.9259259,0.0,0.0,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Other,
302,Span,class:day,07,18,301,Div,2,0,,0,1,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,1.0
303,Span,class:month,mar,18,301,Div,3,1,,0,1,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,1.0
306,A,href:https://www.wacac.org/events/riverside-county-college-fair/,riverside county college fair,17,305,H3,29,0,https://www.wacac.org/events/riverside-county-college-fair/,0,0,0,True,True,False,True,4,0.8965517,0.0,0.10344828,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Name,1.0
308,Div,class:em-item-meta-line em-event-date em-event-meta-datetime,"march 7, 2026",17,307,Div,13,0,,1,1,0,False,False,False,False,3,0.3846154,0.3846154,0.15384616,True,False,False,True,1,True,False,False,True,False,False,False,False,False,False,False,False,Date,1.0
310,Div,class:em-item-meta-line em-event-time em-event-meta-datetime,11:30 am - 1:30 pm,17,307,Div,18,1,,1,1,0,False,False,False,False,5,0.22222222,0.3888889,0.22222222,False,True,True,False,1,True,False,False,False,True,False,False,False,False,False,False,False,StartEndTime,1.0
314,A,href:https://www.wacac.org/locations/university-of-california-riverside/,"university of california, riverside",18,312,Div,35,1,https://www.wacac.org/locations/university-of-california-riverside/,0,0,0,True,True,False,True,4,0.8857143,0.0,0.08571429,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Location,1.0
320,A,href:https://www.wacac.org/events/categories/college-fairs/,college fairs,21,319,Li,13,0,https://www.wacac.org/events/categories/college-fairs/,0,0,0,True,True,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Other,
321,Div,class:em-item-desc,see the list of institutions who will be attending this event! (updated on jan. 22) exhibitor rates & details we are pleased to confirm that [...],16,304,Div,146,2,,0,0,0,False,False,False,True,26,0.74657536,0.01369863,0.17123288,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Description,1.0
323,A,class:em-item-read-more button-;-href:https://www.wacac.org/events/riverside-county-college-fair/,more info,17,322,Div,9,0,https://www.wacac.org/events/riverside-county-college-fair/,0,0,0,True,True,False,True,2,0.8888889,0.0,0.11111111,False,False,False,False,2,True,False,False,False,False,False,False,False,False,False,False,False,Other,
328,Span,class:day,10,18,327,Div,2,0,,0,1,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,2.0
329,Span,class:month,mar,18,327,Div,3,1,,0,1,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,2.0
332,A,href:https://www.wacac.org/events/santa-clara-county-college-fair/,santa clara county college fair,17,331,H3,31,0,https://www.wacac.org/events/santa-clara-county-college-fair/,0,0,0,True,True,False,True,5,0.87096775,0.0,0.12903225,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Name,2.0
334,Div,class:em-item-meta-line em-event-date em-event-meta-datetime,"march 10, 2026",17,333,Div,14,0,,1,1,0,False,False,False,False,3,0.35714287,0.42857143,0.14285715,True,False,False,True,1,True,False,False,True,False,False,False,False,False,False,False,False,Date,2.0
336,Div,class:em-item-meta-line em-event-time em-event-meta-datetime,10:00 am - 12:00 pm,17,333,Div,19,1,,1,1,0,False,False,False,False,5,0.21052632,0.42105263,0.21052632,False,True,True,False,1,True,False,False,False,True,False,False,False,False,False,False,False,StartEndTime,2.0
340,A,href:https://www.wacac.org/locations/foothill-college/,foothill college,18,338,Div,16,1,https://www.wacac.org/locations/foothill-college/,0,0,0,True,True,False,True,2,0.9375,0.0,0.0625,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Location,2.0
346,A,href:https://www.wacac.org/events/categories/college-fairs/,college fairs,21,345,Li,13,0,https://www.wacac.org/events/categories/college-fairs/,0,0,0,True,True,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Other,
347,Div,class:em-item-desc,see the list of institutions who will be attending this event! (updated on jan. 22) exhibitor rates & details we are pleased to confirm that [...],16,330,Div,146,2,,0,0,0,False,False,False,True,26,0.74657536,0.01369863,0.17123288,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Description,2.0
349,A,class:em-item-read-more button-;-href:https://www.wacac.org/events/santa-clara-county-college-fair/,more info,17,348,Div,9,0,https://www.wacac.org/events/santa-clara-county-college-fair/,0,0,0,True,True,False,True,2,0.8888889,0.0,0.11111111,False,False,False,False,2,True,False,False,False,False,False,False,False,False,False,False,False,Other,
354,Span,class:day,10,18,353,Div,2,0,,0,1,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,3.0
355,Span,class:month,mar,18,353,Div,3,1,,0,1,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,3.0
358,A,href:https://www.wacac.org/events/alameda-county-college-fair/,alameda county college fair,17,357,H3,27,0,https://www.wacac.org/events/alameda-county-college-fair/,0,0,0,True,True,False,True,4,0.8888889,0.0,0.11111111,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Name,3.0
360,Div,class:em-item-meta-line em-event-date em-event-meta-datetime,"march 10, 2026",17,359,Div,14,0,,1,1,0,False,False,False,False,3,0.35714287,0.42857143,0.14285715,True,False,False,True,1,True,False,False,True,False,False,False,False,False,False,False,False,Date,3.0
362,Div,class:em-item-meta-line em-event-time em-event-meta-datetime,4:30 pm - 7:00 pm,17,359,Div,17,1,,1,1,0,False,False,False,False,5,0.23529412,0.3529412,0.23529412,False,True,True,False,1,True,False,False,False,True,False,False,False,False,False,False,False,StartEndTime,3.0
366,A,href:https://www.wacac.org/locations/berkeley-high-school/,berkeley high school,18,364,Div,20,1,https://www.wacac.org/locations/berkeley-high-school/,0,0,0,True,True,False,True,3,0.9,0.0,0.1,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Location,3.0
372,A,href:https://www.wacac.org/events/categories/college-fairs/,college fairs,21,371,Li,13,0,https://www.wacac.org/events/categories/college-fairs/,0,0,0,True,True,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Other,
373,Div,class:em-item-desc,see the list of institutions who will be attending this event! (updated on jan. 22) exhibitor rates & details we are pleased to confirm that [...],16,356,Div,146,2,,0,0,0,False,False,False,True,26,0.74657536,0.01369863,0.17123288,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Description,3.0
375,A,class:em-item-read-more button-;-href:https://www.wacac.org/events/alameda-county-college-fair/,more info,17,374,Div,9,0,https://www.wacac.org/events/alameda-county-college-fair/,0,0,0,True,True,False,True,2,0.8888889,0.0,0.11111111,False,False,False,False,2,True,False,False,False,False,False,False,False,False,False,False,False,Other,
380,Span,class:day,11,18,379,Div,2,0,,0,1,0,False,False,False,True,1,0.0,1.0,0.0,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,4.0
381,Span,class:month,mar,18,379,Div,3,1,,0,1,0,False,False,False,True,1,1.0,0.0,0.0,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Date,4.0
384,A,href:https://www.wacac.org/events/sonoma-county-college-fair/,sonoma county college fair,17,383,H3,26,0,https://www.wacac.org/events/sonoma-county-college-fair/,0,0,0,True,True,False,True,4,0.88461536,0.0,0.115384616,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Name,4.0
386,Div,class:em-item-meta-line em-event-date em-event-meta-datetime,"march 11, 2026",17,385,Div,14,0,,1,1,0,False,False,False,False,3,0.35714287,0.42857143,0.14285715,True,False,False,True,1,True,False,False,True,False,False,False,False,False,False,False,False,Date,4.0
388,Div,class:em-item-meta-line em-event-time em-event-meta-datetime,6:00 pm - 8:00 pm,17,385,Div,17,1,,1,1,0,False,False,False,False,5,0.23529412,0.3529412,0.23529412,False,True,True,False,1,True,False,False,False,True,False,False,False,False,False,False,False,StartEndTime,4.0
392,A,href:https://www.wacac.org/locations/piner-high-school/,piner high school,18,390,Div,17,1,https://www.wacac.org/locations/piner-high-school/,0,0,0,True,True,False,True,3,0.88235295,0.0,0.11764706,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Location,4.0
398,A,href:https://www.wacac.org/events/categories/college-fairs/,college fairs,21,397,Li,13,0,https://www.wacac.org/events/categories/college-fairs/,0,0,0,True,True,False,True,2,0.9230769,0.0,0.07692308,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,Other,
399,Div,class:em-item-desc,see the list of institutions who will be attending this event! (updated on jan. 22) exhibitor rates & details we are pleased to confirm that [...],16,382,Div,146,2,,0,0,0,False,False,False,True,26,0.74657536,0.01369863,0.17123288,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,Description,4.0
