rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,text_word_am,text_word_pm,label,event_id
128,A,unknown:true-;-class:cybotcookiebotdialognavitemlink cybotcookiebotdialogactive-;-unknown:cybotcookiebotdialogbody-;-href:#-;-id:cybotcookiebotdialognavdeclaration-;-unknown:tab-;-unknown:0,consent,7,127,Li,7,0,#,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,7,true,true,false,false,false,false,false,false,false,false,false,false,false,false,,
130,A,unknown:false-;-class:cybotcookiebotdialognavitemlink-;-unknown:cybotcookiebotdialogtabcontentdetails-;-href:#-;-id:cybotcookiebotdialognavdetails-;-unknown:tab-;-unknown:0,details,7,129,Li,7,0,#,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,7,true,true,false,false,false,false,false,false,false,false,false,false,false,false,,
132,A,unknown:false-;-class:cybotcookiebotdialognavitemlink-;-unknown:cybotcookiebotdialogdetailbodycontenttextiabv2-;-href:#-;-id:cybotcookiebotdialognavadsettings-;-unknown:tab-;-unknown:0,[#iabv2settings#],7,131,Li,17,0,#,0,0,0,true,false,false,true,1,0.7058824,0.05882353,0.0,false,false,false,false,7,true,true,false,false,false,false,false,false,false,false,false,false,false,false,,
134,A,unknown:false-;-class:cybotcookiebotdialognavitemlink-;-unknown:cybotcookiebotdialogdetailbodycontenttextabout-;-href:#-;-id:cybotcookiebotdialognavabout-;-unknown:tab-;-unknown:0,about,7,133,Li,5,0,#,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,7,true,true,false,false,false,false,false,false,false,false,false,false,false,false,,
140,Div,unknown:2-;-class:cybotcookiebotdialogbodycontentheading-;-id:cybotcookiebotdialogbodycontenttitle-;-unknown:heading,this website uses cookies,8,138,Div,25,1,,0,1,0,false,false,false,true,4,0.88,0.0,0.12,false,false,false,false,4,true,true,false,false,false,false,false,false,false,false,false,false,false,false,,
141,Div,id:cybotcookiebotdialogbodycontenttext,"we use cookies to personalise content and ads, to provide social media features and to analyse our traffic. we also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services.",8,138,Div,352,2,,0,1,0,false,false,false,true,58,0.8189655,0.0,0.1637931,false,false,false,false,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,
144,Div,id:cybotcookiebotdialoggpcicon,[#gpc_banner_icon#],7,143,Div,19,0,,0,1,0,false,false,false,true,1,0.68421054,0.0,0.0,false,false,false,false,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,
145,Div,class:cybotcookiebotdialoggpctext,[#gpc_toast_text#],7,143,Div,18,1,,0,1,0,false,false,false,true,1,0.6666667,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
153,Unknown,class:visuallyhidden,consent selection,13,152,Unknown,17,0,,0,0,0,false,false,false,true,2,0.9411765,0.0,0.05882353,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
157,Unknown,class:cybotcookiebotdialogbodylevelbuttondescription,necessary,16,156,Unknown,9,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false,,
