rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
61,A,"unknown:menu-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-3j c1-1p c1-3k c1-3l c1-3m c1-3n c1-3o c1-3p c1-3q c1-3r c1-b c1-3s c1-1a c1-3t c1-3u c1-3v c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:a1cc9135-1ef4-4ea9-9eb2-04414aaf9f97-;-unknown:ux2.header.header9.nav.default.link.default.6278.click,click-;-unknown:navalpha-;-unknown:navlink-;-href:/-;-unknown:-;-unknown:link-;-unknown:",home,17,60,Li,4,0,/,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,11,true,false,false,false,false,false,true,false,false,false,false,false,Other,
67,Span,,about,21,66,Div,5,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
72,A,"unknown:false-;-unknown:0b0ce34d-9252-4ec6-97f0-eb090926026b-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:09a52c84-8ac8-4bf3-88bf-7fc6ddf5e500-;-unknown:ux2.header.header9.nav.menu.link.default.6281.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/about-;-unknown:-;-unknown:link-;-unknown:",about,19,71,Li,5,0,/about,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
74,A,"unknown:false-;-unknown:0b0ce34d-9252-4ec6-97f0-eb090926026b-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:a7ef6130-e49d-46b1-9b3e-2d93f32c65ea-;-unknown:ux2.header.header9.nav.menu.link.default.6282.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/leadership-;-unknown:-;-unknown:link-;-unknown:",leadership,19,73,Li,10,0,/leadership,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
76,A,"unknown:false-;-unknown:0b0ce34d-9252-4ec6-97f0-eb090926026b-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:5d13018a-3426-42ba-8a65-7e40feab278d-;-unknown:ux2.header.header9.nav.menu.link.default.6283.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/past-presidents-;-unknown:-;-unknown:link-;-unknown:",past presidents,19,75,Li,15,0,/past-presidents,0,0,0,true,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
78,A,"unknown:false-;-unknown:0b0ce34d-9252-4ec6-97f0-eb090926026b-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:1486ecf9-30f3-4b83-b7ee-1c0682bab989-;-unknown:ux2.header.header9.nav.menu.link.default.6284.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/strategic-plan-;-unknown:-;-unknown:link-;-unknown:",strategic plan,19,77,Li,14,0,/strategic-plan,0,0,0,true,false,false,true,2,0.9285714,0.0,0.071428575,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
80,A,"unknown:false-;-unknown:0b0ce34d-9252-4ec6-97f0-eb090926026b-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:8033c906-bd69-4030-a250-0c102ed9f09b-;-unknown:ux2.header.header9.nav.menu.link.default.6285.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/bylaws-;-unknown:-;-unknown:link-;-unknown:",bylaws,19,79,Li,6,0,/bylaws,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
82,A,"unknown:false-;-unknown:0b0ce34d-9252-4ec6-97f0-eb090926026b-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:39bb8767-71c3-4f21-bbb3-fc2144198678-;-unknown:ux2.header.header9.nav.menu.link.default.6286.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/awards-;-unknown:-;-unknown:link-;-unknown:",awards,19,81,Li,6,0,/awards,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
88,Span,,membership,21,87,Div,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
93,A,"unknown:true-;-unknown:ad01389f-6737-4a1a-899a-7da01305432c-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:95f97988-2857-4ed6-b95e-2418e8f28151-;-unknown:ux2.header.header9.nav.menu.link.default.6289.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:https://connect.gpacac.net/account/login?r=https%3a%2f%2fconnect.gpacac.net%2fportal%2fgpacac_member-;-unknown:noopener-;-unknown:link-;-unknown:_blank",member portal,19,92,Li,13,0,https://connect.gpacac.net/account/login?r=https%3a%2f%2fconnect.gpacac.net%2fportal%2fgpacac_member,0,0,0,true,true,false,true,2,0.9230769,0.0,0.07692308,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
95,A,"unknown:false-;-unknown:ad01389f-6737-4a1a-899a-7da01305432c-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:961131e7-b9e3-44e3-be7b-9170b0f204d2-;-unknown:ux2.header.header9.nav.menu.link.default.6290.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/join-today-;-unknown:-;-unknown:link-;-unknown:",join today,19,94,Li,10,0,/join-today,0,0,0,true,false,false,true,2,0.9,0.0,0.1,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
97,A,"unknown:false-;-unknown:ad01389f-6737-4a1a-899a-7da01305432c-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:c09f750a-827a-4af5-933e-99b7af9e19c9-;-unknown:ux2.header.header9.nav.menu.link.default.6291.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/get-involved-;-unknown:-;-unknown:link-;-unknown:",get involved,19,96,Li,12,0,/get-involved,0,0,0,true,false,false,true,2,0.9166667,0.0,0.083333336,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
99,A,"unknown:false-;-unknown:ad01389f-6737-4a1a-899a-7da01305432c-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:ceded092-8931-4a34-b711-81932c0c6cac-;-unknown:ux2.header.header9.nav.menu.link.default.6292.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/member-referral-;-unknown:-;-unknown:link-;-unknown:",member referral,19,98,Li,15,0,/member-referral,0,0,0,true,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
101,A,"unknown:false-;-unknown:ad01389f-6737-4a1a-899a-7da01305432c-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:5c80122b-097d-40f1-b179-d73769f2e32d-;-unknown:ux2.header.header9.nav.menu.link.default.6293.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/kudos-and-spotlights-;-unknown:-;-unknown:link-;-unknown:",kudos and spotlights,19,100,Li,20,0,/kudos-and-spotlights,0,0,0,true,false,false,true,3,0.9,0.0,0.1,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
103,A,"unknown:false-;-unknown:ad01389f-6737-4a1a-899a-7da01305432c-nav-6276-toggleid-;-class:x-el x-el-a c1-3h c1-3i c1-1l c1-1m c1-1n c1-16 c1-1p c1-4d c1-4e c1-b c1-4f c1-1a c1-3t c1-1x c1-4g c1-1f c1-1g c1-1h c1-1i-;-unknown:true-;-unknown:a5c87d1a-053f-47ab-9718-f9bcf0abdf5c-;-unknown:ux2.header.header9.nav.menu.link.default.6294.click,click-;-unknown:navalpha-;-unknown:navmenulink-;-href:/swag-;-unknown:-;-unknown:link-;-unknown:",swag,19,102,Li,4,0,/swag,0,0,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,12,true,false,false,false,false,false,true,false,false,false,false,false,Other,
