rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
20,Div,class:mobilepanelbutton buttonmenu-;-title:menu,menu,8,19,Div,4,0,,0,1,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,2,true,false,false,false,false,false,false,false,false,false,false,false,Other,
21,Div,class:mobilepanelbutton buttonlogin-;-title:log in,log in,8,19,Div,6,1,,0,1,0,false,false,false,true,2,0.8333333,0.0,0.16666667,false,false,false,false,2,true,false,false,false,false,false,false,false,false,false,false,false,Other,
27,Span,,home,13,26,A,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
31,Span,,about,13,30,A,5,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
36,Span,,executive board,16,35,A,15,0,,0,0,0,false,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
40,Span,,awards and nominations (2025),16,39,A,29,0,,0,0,0,false,false,false,true,4,0.6896552,0.13793103,0.10344828,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
44,Span,,scholarship,16,43,A,11,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
48,Span,,committees,13,47,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
53,Span,,professional development,16,52,A,24,0,,0,0,0,false,false,false,true,2,0.9583333,0.0,0.041666668,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
57,Span,,special interest groups (sigs),16,56,A,30,0,,0,0,0,false,false,false,true,4,0.8333333,0.0,0.1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
61,Span,,nominations,16,60,A,11,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
65,Span,,membership,13,64,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
70,Span,,premium membership packages,16,69,A,27,0,,0,0,0,false,false,false,true,3,0.9259259,0.0,0.074074075,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
74,Span,,premium members,16,73,A,15,0,,0,0,0,false,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
78,Span,,join inacac,16,77,A,11,0,,0,0,0,false,false,false,true,2,0.90909094,0.0,0.09090909,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
82,Span,,events,13,81,A,6,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
87,Span,,college fairs,16,86,A,13,0,,0,0,0,false,false,false,true,2,0.9230769,0.0,0.07692308,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
91,Span,,counselor updates,16,90,A,17,0,,0,0,0,false,false,false,true,2,0.9411765,0.0,0.05882353,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
95,Span,,upcoming events,16,94,A,15,0,,0,0,0,false,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
99,Span,,conference,13,98,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
103,Span,,contact us,13,102,A,10,0,,0,0,0,false,false,false,true,2,0.9,0.0,0.1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
126,Unknown,unknown:id_cxolkq2_rememberme,remember me,12,124,Div,11,1,,0,0,0,false,false,false,true,2,0.90909094,0.0,0.09090909,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
128,A,href:https://inacac.org/sys/resetpasswordrequest,forgot password,12,127,Div,15,0,https://inacac.org/sys/resetpasswordrequest,0,0,0,true,true,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
156,Unknown,unknown:#ffffff-;-unknown:arbutus slab,donate to our scholarship fund,19,155,A,30,0,,0,0,0,false,false,false,true,5,0.8666667,0.0,0.13333334,false,false,false,false,2,false,false,false,false,false,false,false,false,false,false,false,false,Other,
185,Span,,home,20,184,A,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
189,Span,,about,20,188,A,5,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
194,Span,,executive board,23,193,A,15,0,,0,0,0,false,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
198,Span,,awards and nominations (2025),23,197,A,29,0,,0,0,0,false,false,false,true,4,0.6896552,0.13793103,0.10344828,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
202,Span,,scholarship,23,201,A,11,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
206,Span,,committees,20,205,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
211,Span,,professional development,23,210,A,24,0,,0,0,0,false,false,false,true,2,0.9583333,0.0,0.041666668,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
215,Span,,special interest groups (sigs),23,214,A,30,0,,0,0,0,false,false,false,true,4,0.8333333,0.0,0.1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
219,Span,,nominations,23,218,A,11,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
223,Span,,membership,20,222,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
228,Span,,premium membership packages,23,227,A,27,0,,0,0,0,false,false,false,true,3,0.9259259,0.0,0.074074075,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
232,Span,,premium members,23,231,A,15,0,,0,0,0,false,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
236,Span,,join inacac,23,235,A,11,0,,0,0,0,false,false,false,true,2,0.90909094,0.0,0.09090909,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
240,Span,,events,20,239,A,6,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
245,Span,,college fairs,23,244,A,13,0,,0,0,0,false,false,false,true,2,0.9230769,0.0,0.07692308,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
249,Span,,counselor updates,23,248,A,17,0,,0,0,0,false,false,false,true,2,0.9411765,0.0,0.05882353,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
253,Span,,upcoming events,23,252,A,15,0,,0,0,0,false,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
257,Span,,conference,20,256,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
261,Span,,≡,20,260,A,3,0,,0,0,0,false,false,false,true,1,0.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
266,Span,,contact us,23,265,A,10,0,,0,0,0,false,false,false,true,2,0.9,0.0,0.1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
278,Unknown,unknown:arbutus slab,attention members,11,277,Em,17,0,,0,0,0,false,false,false,true,2,0.9411765,0.0,0.05882353,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
282,Unknown,"unknown:arial, helvetica, sans-serif","inacac membership has migrated to slate, a platform many of our members know and trust.",11,281,Em,87,0,,0,0,0,false,false,false,true,15,0.81609195,0.0,0.16091955,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
286,Unknown,"unknown:arial, helvetica, sans-serif",please access our new to renew your membership for 2025-26 or access your inacac account.,11,285,Em,89,0,,1,0,0,false,false,false,false,15,0.752809,0.06741573,0.15730338,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
287,A,href:https://connect.inacac.org/portal/membership-;-unknown:_blank,membership portal,12,286,Unknown,17,0,https://connect.inacac.org/portal/membership,0,0,0,true,true,false,true,2,0.9411765,0.0,0.05882353,false,false,false,false,2,false,false,false,false,false,false,false,false,false,false,false,false,Other,
297,Unknown,unknown:#ffe100-;-unknown:josefin sans,college fairs,15,296,Div,13,0,,0,0,0,false,false,false,true,2,0.9230769,0.0,0.07692308,false,false,false,false,2,false,false,false,false,false,false,false,false,false,false,false,false,Other,
319,Unknown,unknown:arbutus slab,greater indianapolis northside college fair,18,318,Unknown,43,0,,0,0,0,false,false,false,true,5,0.90697676,0.0,0.093023255,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
325,Unknown,"unknown:arial, helvetica, sans-serif",the greater indianapolis northside college fair is an annual event hosted by the inacac college fair committee. the event offers opportunities for high school students to meet with college admission representatives from both indiana and out-of-state institutions.,16,324,P,263,0,,0,0,0,false,false,false,true,37,0.84790874,0.0,0.13688213,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
328,Unknown,,2026 information coming soon,17,327,Span,28,0,,0,0,0,false,false,false,true,4,0.75,0.14285715,0.10714286,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
336,Unknown,,"premium members, please email stacie vetor to rsvp for this event.",22,335,Em,66,0,,0,0,0,false,false,false,true,11,0.8181818,0.0,0.15151516,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
