rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
19,Div,class:mobilepanelbutton buttonmenu-;-title:menu,menu,8,18,Div,4,0,,0,1,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,2,true,false,false,false,false,false,false,false,false,false,false,false,Other,
20,Div,class:mobilepanelbutton buttonlogin-;-title:log in,log in,8,18,Div,6,1,,0,1,0,false,false,false,true,2,0.8333333,0.0,0.16666667,false,false,false,false,2,true,false,false,false,false,false,false,false,false,false,false,false,Other,
26,Span,,home,13,25,A,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
30,Span,,about,13,29,A,5,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
35,Span,,what is kyacac?,16,34,A,15,0,,0,0,0,false,false,false,true,3,0.8,0.0,0.13333334,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
39,Span,,history,16,38,A,7,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
43,Span,,leadership,16,42,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
47,Span,,awards,16,46,A,6,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
51,Span,,strategic plan,16,50,A,14,0,,0,0,0,false,false,false,true,2,0.9285714,0.0,0.071428575,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
55,Span,,presidential message,13,54,A,20,0,,0,0,0,false,false,false,true,2,0.95,0.0,0.05,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
60,Span,,statement regarding kentucky state university,16,59,A,45,0,,0,0,0,false,false,false,true,5,0.9111111,0.0,0.08888889,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
64,Span,,events,13,63,A,6,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
69,Span,,annual conference & gwi,16,68,A,23,0,,0,0,0,false,false,false,true,4,0.82608694,0.0,0.13043478,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
73,Span,,college fairs,16,72,A,13,0,,0,0,0,false,false,false,true,2,0.9230769,0.0,0.07692308,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
77,Span,,new admissions and high school counselor retreat,16,76,A,48,0,,0,0,0,false,false,false,true,7,0.875,0.0,0.125,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
81,Span,,ccie,16,80,A,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
85,Span,,committees,13,84,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
90,Span,,arms,16,89,A,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
