rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,label,event_id
34,A,class:toggle-menu icon-menu-;-href:#,menu,6,33,Div,4,0,#,0,1,0,true,false,false,true,1,1.0,0.0,0.0,false,false,false,false,2,true,false,false,false,false,false,false,false,false,false,false,false,Other,
35,A,class:toggle-login-;-href:#,member login,6,33,Div,12,1,#,0,1,0,true,false,false,true,2,0.9166667,0.0,0.083333336,false,false,false,false,2,true,false,false,false,false,false,false,false,false,false,false,false,Other,
40,Span,,home,10,39,A,4,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
43,Span,,conference,10,42,Span,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
48,Span,,2026 conference,12,47,A,15,0,,0,0,0,false,false,false,true,2,0.6666667,0.26666668,0.06666667,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
53,Span,,2026 conference,14,52,A,15,0,,0,0,0,false,false,false,true,2,0.6666667,0.26666668,0.06666667,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
56,Span,,2026 member registration,14,55,A,24,0,,0,0,0,false,false,false,true,3,0.75,0.16666667,0.083333336,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
59,Span,,2026 corporate partner info,14,58,A,27,0,,0,0,0,false,false,false,true,4,0.7407407,0.14814815,0.11111111,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
62,Span,,2026 hotel information,14,61,A,22,0,,0,0,0,false,false,false,true,3,0.72727275,0.18181819,0.09090909,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
65,Span,,2026 conference speakers,14,64,A,24,0,,0,0,0,false,false,false,true,3,0.75,0.16666667,0.083333336,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
68,Span,,2026 conference tips,14,67,A,20,0,,0,0,0,false,false,false,true,3,0.7,0.2,0.1,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
71,Span,,2026 amusement park information,14,70,A,31,0,,0,0,0,false,false,false,true,4,0.7741935,0.12903225,0.09677419,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
74,Span,,2026 travel information,14,73,A,23,0,,0,0,0,false,false,false,true,3,0.73913044,0.17391305,0.08695652,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
77,Span,,2026 conference app,14,76,A,19,0,,0,0,0,false,false,false,true,3,0.68421054,0.21052632,0.10526316,false,false,true,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
80,Span,,about sacrao,10,79,Span,12,0,,0,0,0,false,false,false,true,2,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
85,Span,,mission & history,12,84,A,17,0,,0,0,0,false,false,false,true,3,0.8235294,0.0,0.11764706,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
88,Span,,purpose,12,87,A,7,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
91,Span,,strategic plan,12,90,A,14,0,,0,0,0,false,false,false,true,2,0.9285714,0.0,0.071428575,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
94,Span,,constitution & bylaws,12,93,A,21,0,,0,0,0,false,false,false,true,3,0.85714287,0.0,0.0952381,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
97,Span,,annual meeting & president history,12,96,A,34,0,,0,0,0,false,false,false,true,5,0.85294116,0.0,0.11764706,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
100,Span,,executive committee,12,99,A,19,0,,0,0,0,false,false,false,true,2,0.94736844,0.0,0.05263158,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
103,Span,,committee descriptions,12,102,A,22,0,,0,0,0,false,false,false,true,2,0.95454544,0.0,0.045454547,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
106,Span,,committee members,12,105,A,17,0,,0,0,0,false,false,false,true,2,0.9411765,0.0,0.05882353,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
109,Span,,affiliate state associations,12,108,A,28,0,,0,0,0,false,false,false,true,3,0.9285714,0.0,0.071428575,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
112,Span,,get involved,10,111,Span,12,0,,0,0,0,false,false,false,true,2,0.9166667,0.0,0.083333336,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
117,Span,,ways to get involved,12,116,A,20,0,,0,0,0,false,false,false,true,4,0.85,0.0,0.15,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
120,Span,,preparing a site bid (pdf),12,119,A,26,0,,0,0,0,false,false,false,true,5,0.7692308,0.0,0.15384616,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
123,Span,,site bid proposal online submission,12,122,A,35,0,,0,0,0,false,false,false,true,5,0.8857143,0.0,0.114285715,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
126,Span,,poster session,12,125,A,14,0,,0,0,0,false,false,false,true,2,0.9285714,0.0,0.071428575,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
129,Span,,i'm available form,12,128,A,18,0,,0,0,0,false,false,false,true,3,0.8333333,0.0,0.11111111,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
132,Span,,make a donation,12,131,A,15,0,,0,0,0,false,false,false,true,3,0.8666667,0.0,0.13333334,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
135,Span,,membership,10,134,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
140,Span,,membership,12,139,A,10,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
143,Span,,dues & application,12,142,A,18,0,,0,0,0,false,false,false,true,3,0.8333333,0.0,0.11111111,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
146,Span,,benefits,12,145,A,8,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
149,Span,,recognition/awards,12,148,A,18,0,,0,0,0,false,false,false,true,1,0.9444444,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
152,Span,,membership management faq,12,151,A,25,0,,0,0,0,false,false,false,true,3,0.92,0.0,0.08,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
155,Span,,resources,10,154,Span,9,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
160,Span,,"apps, forms & docs",12,159,A,18,0,,0,0,0,false,false,false,true,4,0.7222222,0.0,0.16666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
163,Span,,tax information,12,162,A,15,0,,0,0,0,false,false,false,true,2,0.93333334,0.0,0.06666667,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
166,Span,,employment opportunities,12,165,A,24,0,,0,0,0,false,false,false,true,2,0.9583333,0.0,0.041666668,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
169,Span,,budget information,12,168,A,18,0,,0,0,0,false,false,false,true,2,0.9444444,0.0,0.055555556,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,Other,
181,Unknown,unknown:modlgn_username,username,10,180,P,8,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
184,Unknown,unknown:modlgn_passwd,password,10,183,P,8,0,,0,0,0,false,false,false,true,1,1.0,0.0,0.0,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
188,Unknown,unknown:modlgn_keepmeloggedin,keep me logged in,10,186,P,17,1,,0,0,0,false,false,false,true,4,0.8235294,0.0,0.1764706,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,Other,
