rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,text_word_am,text_word_pm,label,event_id,source,bio,in_event,start_event,is_synthetic
0,Nav,class:nav-item,venue information,4,-1,Nav,17,1,,0,2,0,0,0,0,1,2,0.9411764705882353,0.0,0.058823529411764705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
1,Span,class:nav-item,filter by location,3,0,Nav,18,0,,0,1,0,0,0,0,1,3,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
2,Span,class:nav-item,featured events,8,1,Div,15,5,,0,8,0,0,0,0,1,2,0.9333333333333333,0.0,0.06666666666666667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
3,P,class:event-field-name,lincoln high school,6,2,Div,19,0,,0,4,0,0,0,0,1,3,1.0,0.0,0.10526315789473684,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,0.0,synth_namefirst_000,1,1,1,True
4,P,class:event-field-date,"sep 23, 2026",4,3,Table,12,1,,0,8,0,0,0,0,1,3,0.4166666666666667,0.5,0.16666666666666666,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,0.0,synth_namefirst_000,2,1,0,True
5,A,class:event-field-time,2:00pm,6,4,Section,6,2,,0,14,0,0,0,0,1,1,0.3333333333333333,0.5,0.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Time,0.0,synth_namefirst_000,2,1,0,True
6,Td,class:event-field-location,"buffalo, ny",4,5,Table,11,3,,0,8,0,0,0,0,1,2,0.9090909090909091,0.0,0.09090909090909091,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,0.0,synth_namefirst_000,2,1,0,True
7,Nav,class:nav-item,page 1 of 3,7,6,Header,11,1,,0,1,0,0,0,0,1,4,0.5454545454545454,0.18181818181818182,0.2727272727272727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
8,P,class:nav-item,exhibitor guidelines,3,7,Div,20,1,,0,1,0,0,0,0,1,2,0.95,0.0,0.05,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
9,Nav,class:nav-item,showing 1-10 of 30,4,8,Footer,18,2,,0,5,0,0,0,0,1,4,0.5,0.2777777777777778,0.16666666666666666,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
10,Span,class:nav-item,bookmark,7,9,Div,8,5,,0,2,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
11,Nav,class:nav-item,follow us,8,10,Footer,9,5,,0,8,0,0,0,0,1,2,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
12,P,class:nav-item,registration closed,4,11,Nav,19,0,,0,5,0,0,0,0,1,2,0.9473684210526315,0.0,0.05263157894736842,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
13,Span,class:event-field-name,harborside high school,5,12,Table,22,0,,0,6,0,0,0,0,1,3,1.0,0.0,0.09090909090909091,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,1.0,synth_namefirst_000,1,1,1,True
14,P,class:event-field-date,"sunday, july 20th",7,13,Ul,17,1,,0,11,0,0,0,0,1,3,0.8235294117647058,0.11764705882352941,0.11764705882352941,1,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,1.0,synth_namefirst_000,2,1,0,True
15,Div,class:event-field-time,3:30pm,5,14,Div,6,2,,0,10,0,0,0,0,1,1,0.3333333333333333,0.5,0.0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Time,1.0,synth_namefirst_000,2,1,0,True
16,A,class:event-field-location,"atlanta, ga",4,15,Section,11,3,,0,4,0,0,0,0,1,2,0.9090909090909091,0.0,0.09090909090909091,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,1.0,synth_namefirst_000,2,1,0,True
17,Td,class:event-field-price,$75.00,4,16,Section,6,4,,0,8,0,0,0,0,1,1,0.0,0.6666666666666666,0.0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Price,1.0,synth_namefirst_000,2,1,0,True
18,Header,class:nav-item,read more,8,17,Footer,9,5,,0,1,0,0,0,0,1,2,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
19,Nav,class:nav-item,events,6,18,Footer,6,1,,0,7,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
20,Span,class:nav-item,sponsors,7,19,Footer,8,0,,0,4,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
21,Li,class:nav-item,registration information,7,20,Nav,24,4,,0,0,0,0,0,0,1,2,0.9583333333333334,0.0,0.041666666666666664,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
22,A,class:nav-item,events,5,21,Nav,6,1,,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
23,Span,class:event-field-name,central state university,5,22,Ul,24,0,,0,6,0,0,0,0,1,3,1.0,0.0,0.08333333333333333,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,2.0,synth_namefirst_000,1,1,1,True
24,Li,class:event-field-date,"sep 23, 2026",6,23,Section,12,1,,0,8,0,0,0,0,1,3,0.4166666666666667,0.5,0.16666666666666666,1,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,2.0,synth_namefirst_000,2,1,0,True
25,Div,class:event-field-time,8pm,4,24,Table,3,2,,0,5,0,0,0,0,1,1,0.6666666666666666,0.3333333333333333,0.0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Time,2.0,synth_namefirst_000,2,1,0,True
26,Td,class:event-field-location,"tacoma, wa",4,25,Ul,10,3,,0,11,0,0,0,0,1,2,0.9,0.0,0.1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,2.0,synth_namefirst_000,2,1,0,True
27,Span,class:event-field-price,$100.00,4,26,Div,7,4,,0,3,0,0,0,0,1,1,0.0,0.7142857142857143,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Price,2.0,synth_namefirst_000,2,1,0,True
28,Div,class:event-field-description,bring your transcripts and test scores,4,27,Ul,38,5,,0,15,0,0,0,0,1,6,1.0,0.0,0.13157894736842105,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Description,2.0,synth_namefirst_000,2,1,0,True
29,Span,class:nav-item,print page,4,28,Div,10,4,,0,2,0,0,0,0,1,2,0.9,0.0,0.1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
30,P,class:nav-item,questions? email us,4,29,Div,19,0,,0,1,0,0,0,0,1,3,0.8421052631578947,0.0,0.10526315789473684,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
31,Li,class:nav-item,instagram,8,30,Footer,9,0,,0,1,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
32,Div,class:event-field-name,summit university,6,31,Section,17,0,,0,9,0,0,0,0,1,2,1.0,0.0,0.058823529411764705,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,3.0,synth_namefirst_000,1,1,1,True
33,Div,class:event-field-date,"saturday, may 17th",4,32,Ul,18,1,,0,2,0,0,0,0,1,3,0.8333333333333334,0.1111111111111111,0.1111111111111111,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,3.0,synth_namefirst_000,2,1,0,True
34,Li,class:event-field-time,8pm,5,33,Ul,3,2,,0,8,0,0,0,0,1,1,0.6666666666666666,0.3333333333333333,0.0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Time,3.0,synth_namefirst_000,2,1,0,True
35,Li,class:event-field-location,eastside cultural center,7,34,Div,24,3,,0,2,0,0,0,0,1,3,1.0,0.0,0.08333333333333333,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,3.0,synth_namefirst_000,2,1,0,True
36,P,class:event-field-description,meet representatives from over 50 colleges and universities,7,35,Section,59,4,,0,6,0,0,0,0,1,8,0.9661016949152542,0.03389830508474576,0.11864406779661017,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Description,3.0,synth_namefirst_000,2,1,0,True
37,Div,class:nav-item,event details,4,36,Nav,13,1,,0,4,0,0,0,0,1,2,0.9230769230769231,0.0,0.07692307692307693,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
