iter	Logloss
0	0.6456675228
1	0.605289441
2	0.5710297361
3	0.5427004679
4	0.5152765707
5	0.4804836113
6	0.4494585426
7	0.4189650086
8	0.3994125699
9	0.3756459148
10	0.3609755423
11	0.3408803418
12	0.325571193
13	0.3090562673
14	0.2945978468
15	0.2814709401
16	0.2682134942
17	0.2549720776
18	0.2439544694
19	0.2332528747
20	0.2256112309
21	0.2159753502
22	0.2087990793
23	0.201455927
24	0.1953372256
25	0.1902552457
26	0.1868871499
27	0.1824741556
28	0.1790215321
29	0.176175772
30	0.174132522
31	0.1712808401
32	0.1670120945
33	0.1636544146
34	0.1600915157
35	0.1556633032
