iter	Passed	Remaining
0	206	206775
1	321	160617
2	402	133742
3	489	121848
4	598	119196
5	677	112169
6	767	108903
7	843	104538
8	925	101905
9	1003	99371
10	1086	97696
11	1172	96501
12	1248	94772
13	1332	93878
14	1411	92663
15	1493	91865
16	1566	90584
17	1667	90988
18	1743	90032
19	1814	88929
20	1894	88318
21	1968	87503
22	2046	86935
23	2122	86317
24	2199	85792
25	2270	85062
26	2340	84351
27	2414	83834
28	2498	83660
29	2576	83300
30	2644	82646
31	2721	82311
32	2788	81704
33	2854	81106
34	2924	80628
35	2989	80065
36	3066	79806
37	3138	79444
38	3208	79050
39	3276	78630
40	3347	78293
41	3432	78290
42	3508	78093
43	3600	78230
44	3675	78006
45	3758	77952
46	3838	77831
47	3921	77775
48	4007	77785
49	4100	77914
50	4181	77809
51	4266	77778
52	4336	77492
53	4420	77434
54	4509	77477
55	4587	77337
56	4661	77114
57	4738	76957
58	4819	76867
59	4889	76609
60	4974	76574
61	5052	76434
62	5124	76219
63	5205	76130
64	5285	76026
65	5369	75985
66	5446	75839
67	5537	75890
68	5615	75773
69	5690	75603
70	5759	75365
71	5843	75317
72	5933	75350
73	6020	75338
74	6111	75369
75	6191	75273
76	6262	75068
77	6335	74886
78	6409	74727
79	6490	74646
80	6577	74631
81	6657	74532
82	6738	74451
83	6808	74249
84	6876	74020
85	6944	73802
86	7020	73670
87	7091	73493
88	7161	73301
89	7238	73189
90	7314	73061
91	7389	72926
92	7471	72862
93	7548	72754
94	7632	72707
95	7703	72538
96	7769	72328
97	7842	72180
98	7912	72015
99	7985	71871
100	8060	71744
101	8131	71592
102	8213	71533
103	8281	71350
104	8347	71150
105	8417	70993
106	8497	70915
107	8564	70735
108	8635	70585
109	8705	70433
110	8773	70269
111	8841	70099
112	8901	69872
113	8968	69703
114	9033	69517
115	9100	69353
116	9173	69229
117	9245	69108
118	9327	69058
119	9397	68916
120	9470	68796
121	9543	68678
122	9613	68543
123	9680	68387
124	9752	68264
125	9821	68123
126	9885	67952
127	9961	67860
128	10027	67705
129	10104	67623
130	10174	67495
131	10240	67339
132	10311	67219
133	10391	67157
134	10478	67139
135	10573	67175
136	10641	67036
137	10725	66993
138	10806	66939
139	10887	66878
140	10967	66817
141	11049	66766
142	11119	66636
143	11193	66536
144	11262	66411
145	11338	66320
146	11460	66500
147	11538	66424
148	11609	66307
149	11680	66190
150	11751	66071
151	11830	66002
152	11905	65909
153	11976	65793
154	12051	65701
155	12137	65666
156	12206	65541
157	12287	65484
158	12367	65417
159	12445	65338
160	12522	65256
161	12605	65207
162	12673	65080
163	12739	64940
164	12807	64815
165	12882	64722
166	12969	64692
167	13047	64613
168	13129	64562
169	13207	64481
170	13279	64377
171	13357	64301
172	13443	64265
173	13543	64291
174	13618	64201
175	13687	64082
176	13754	63952
177	13823	63838
178	13902	63764
179	13982	63697
180	14064	63641
181	14144	63574
182	14216	63468
183	14287	63362
184	14358	63257
185	14442	63206
186	14529	63168
187	14598	63054
188	14669	62946
189	14735	62821
190	14808	62723
191	14891	62668
192	14967	62584
193	15044	62505
194	15118	62413
195	15201	62356
196	15275	62264
197	15373	62268
198	15442	62159
199	15524	62098
200	15611	62058
201	15705	62045
202	15783	61967
203	15852	61857
204	15928	61770
